파일명,항목,결과,처리
"HTS_Hardware_Init.cpp","NVIC-2","수정","IRQ 경고 블록 삽입"
"HTS_Hardware_Bridge.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Hardware_Shield.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Power_Manager.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_LEA_Bridge.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_AES_Bridge.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Rx_Matched_Filter.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Rx_Sync_Detector.cpp","X-5-1","수정","asm clobber "memory" 추가"
"AnchorEncoder.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Orbital_Mapper.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Role_Auth.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_KT_DSN_Adapter.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Mesh_Router.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Neighbor_Discovery.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_AMI_Protocol.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Sensor_Aggregator.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Gyro_Engine.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Location_Engine.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Priority_Scheduler.cpp","X-5-1","수정","asm clobber "memory" 추가"
"HTS_Types.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_BitOps.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_PHY_Config.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"common.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"config.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"util.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"arm_arch.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Hardware_Init.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Hardware_Init.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Hardware_Bridge.cpp","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
"HTS_Hardware_Auto_Scaler.h","검사항목281","[요검토]","알고리즘/시그니처/호출순서 변경 필요 가능성"
